x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.02,-0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[-2.85770267e-05  7.56523104e-04 -2.07509002e-04],0.000785,True
-0.02,-0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[-3.41994459e-05  8.67254766e-04 -2.34997337e-04],0.000899,True
-0.02,-0.02,0.0,0.0,1.0,0.0,,,,0.000798,[-4.08829311e-05  9.92831980e-04 -2.64768695e-04],0.001028,True
-0.02,-0.02,0.01,0.0,1.0,0.0,,,,0.000798,[-4.87898522e-05  1.13451769e-03 -2.96435119e-04],0.001174,True
-0.02,-0.02,0.02,0.0,1.0,0.0,,,,0.000798,[-5.80890583e-05  1.29336458e-03 -3.29332479e-04],0.001336,True
-0.02,-0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[-1.42857190e-05  7.65874186e-04 -1.03746167e-04],0.000773,True
-0.02,-0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[-1.70766110e-05  8.76377479e-04 -1.17327161e-04],0.000884,True
-0.02,-0.01,0.0,0.0,1.0,0.0,,,,0.000798,[-2.03869931e-05  1.00114273e-03 -1.31980243e-04],0.00101,True
-0.02,-0.01,0.01,0.0,1.0,0.0,,,,0.000798,[-2.42938250e-05  1.14119838e-03 -1.47493743e-04],0.001151,True
-0.02,-0.01,0.02,0.0,1.0,0.0,,,,0.000798,[-2.88761253e-05  1.29730664e-03 -1.63516753e-04],0.001308,True
-0.02,0.0,-0.02,0.0,1.0,0.0,,,,0.000798,[1.89735380e-19 7.68946217e-04 1.62630326e-19],0.000769,True
-0.02,0.0,-0.01,0.0,1.0,0.0,,,,0.000798,[-1.35525272e-19  8.79355986e-04  5.42101086e-20],0.000879,True
-0.02,0.0,0.0,0.0,1.0,0.0,,,,0.000798,[ 2.71050543e-20  1.00382929e-03 -9.75781955e-19],0.001004,True
-0.02,0.0,0.01,0.0,1.0,0.0,,,,0.000798,[ 1.35525272e-20  1.14331647e-03 -3.25260652e-19],0.001143,True
-0.02,0.0,0.02,0.0,1.0,0.0,,,,0.000798,[ 0.00000000e+00  1.29848361e-03 -6.50521303e-19],0.001298,True
-0.02,0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[1.42857190e-05 7.65874186e-04 1.03746167e-04],0.000773,True
-0.02,0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[1.70766110e-05 8.76377479e-04 1.17327161e-04],0.000884,True
-0.02,0.01,0.0,0.0,1.0,0.0,,,,0.000798,[2.03869931e-05 1.00114273e-03 1.31980243e-04],0.00101,True
-0.02,0.01,0.01,0.0,1.0,0.0,,,,0.000798,[2.42938250e-05 1.14119838e-03 1.47493743e-04],0.001151,True
-0.02,0.01,0.02,0.0,1.0,0.0,,,,0.000798,[2.88761253e-05 1.29730664e-03 1.63516753e-04],0.001308,True
-0.02,0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[2.85770267e-05 7.56523104e-04 2.07509002e-04],0.000785,True
-0.02,0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[3.41994459e-05 8.67254766e-04 2.34997337e-04],0.000899,True
-0.02,0.02,0.0,0.0,1.0,0.0,,,,0.000798,[4.08829311e-05 9.92831980e-04 2.64768695e-04],0.001028,True
-0.02,0.02,0.01,0.0,1.0,0.0,,,,0.000798,[4.87898522e-05 1.13451769e-03 2.96435119e-04],0.001174,True
-0.02,0.02,0.02,0.0,1.0,0.0,,,,0.000798,[5.80890583e-05 1.29336458e-03 3.29332479e-04],0.001336,True
-0.01,-0.02,-0.02,0.0,1.0,0.0,,,,0.000798,[-1.45224909e-05  7.67332359e-04 -2.11405953e-04],0.000796,True
-0.01,-0.02,-0.01,0.0,1.0,0.0,,,,0.000798,[-1.73929040e-05  8.80235582e-04 -2.39641678e-04],0.000912,True
-0.01,-0.02,0.0,0.0,1.0,0.0,,,,0.000798,[-2.08083290e-05  1.00841010e-03 -2.70280425e-04],0.001044,True
-0.01,-0.02,0.01,0.0,1.0,0.0,,,,0.000798,[-2.48530535e-05  1.15318954e-03 -3.02941771e-04],0.001193,True
-0.01,-0.02,0.02,0.0,1.0,0.0,,,,0.000798,[-2.96150434e-05  1.31570233e-03 -3.36964014e-04],0.001358,True
-0.01,-0.01,-0.02,0.0,1.0,0.0,,,,0.000798,[-7.25915845e-06  7.76677560e-04 -1.05682418e-04],0.000784,True
-0.01,-0.01,-0.01,0.0,1.0,0.0,,,,0.000798,[-8.68376999e-06  8.89306307e-04 -1.19630019e-04],0.000897,True
-0.01,-0.01,0.0,0.0,1.0,0.0,,,,0.000798,[-1.03751600e-05  1.01659752e-03 -1.34706886e-04],0.001026,True
-0.01,-0.01,0.01,0.0,1.0,0.0,,,,0.000798,[-1.23732802e-05  1.15964060e-03 -1.50704278e-04],0.001169,True
