x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,B.RMF.mag_1,is.rot
-0.05,-0.05,-0.05,0,1,0,,,,0.000602,[-2.37248691e-05  1.03540702e-04 -7.82743870e-05],0.000528,0.000132,FALSE
-0.05,-0.05,-0.04,0,1,0,,,,0.000587,[-2.84021081e-05  1.19230194e-04 -8.94903357e-05],0.000608,0.000152,FALSE
-0.05,-0.05,-0.03,0,1,0,,,,0.000561,[-3.40298321e-05  1.37392490e-04 -1.02113363e-04],0.0007,0.000175,FALSE
-0.05,-0.05,-0.02,0,1,0,,,,0.000523,[-4.07937256e-05  1.58416472e-04 -1.16215472e-04],0.000804,0.000201,FALSE
-0.05,-0.05,-0.01,0,1,0,,,,0.000474,[-4.89088128e-05  1.82739996e-04 -1.31822883e-04],0.000924,0.000231,FALSE
-0.05,-0.05,0,0,1,0,,,,0.000424,[-5.86202825e-05  2.10847764e-04 -1.48890822e-04],0.00106,0.000265,FALSE
-0.05,-0.05,0.01,0,1,0,,,,0.000404,[-7.02021796e-05  2.43263621e-04 -1.67270638e-04],0.001212,0.000303,FALSE
-0.05,-0.05,0.02,0,1,0,,,,0.000472,[-8.39528134e-05  2.80534339e-04 -1.86668397e-04],0.001388,0.000347,FALSE
-0.05,-0.05,0.03,0,1,0,,,,0.000665,[-0.00010019  0.0003232  -0.00020659],0.001584,0.000396,FALSE
-0.05,-0.05,0.04,0,1,0,,,,0.000975,[-0.00011921  0.00037175 -0.00022631],0.001804,0.000451,FALSE
-0.05,-0.05,0.05,0,1,0,,,,0.00139,[-0.00014132  0.00042657 -0.00024475],0.002048,0.000512,FALSE
-0.05,-0.04,-0.05,0,1,0,,,,0.000586,[-1.91663037e-05  1.09743232e-04 -6.33789260e-05],0.000512,0.000128,FALSE
-0.05,-0.04,-0.04,0,1,0,,,,0.000569,[-2.29020130e-05  1.26046322e-04 -7.23063861e-05],0.000588,0.000147,FALSE
-0.05,-0.04,-0.03,0,1,0,,,,0.000543,[-2.73796450e-05  1.44787851e-04 -8.22974179e-05],0.000676,0.000169,FALSE
-0.05,-0.04,-0.02,0,1,0,,,,0.000508,[-3.27376545e-05  1.66306312e-04 -9.33847267e-05],0.000776,0.000194,FALSE
-0.05,-0.04,-0.01,0,1,0,,,,0.000468,[-3.91339583e-05  1.90968301e-04 -1.05558098e-04],0.000888,0.000222,FALSE
-0.05,-0.04,0,0,1,0,,,,0.000441,[-4.67454093e-05  2.19160841e-04 -1.18743920e-04],0.001016,0.000254,FALSE
-0.05,-0.04,0.01,0,1,0,,,,0.000459,[-5.57653983e-05  2.51277716e-04 -1.32779319e-04],0.00116,0.00029,FALSE
-0.05,-0.04,0.02,0,1,0,,,,0.000566,[-6.63987374e-05  2.87697555e-04 -1.47380701e-04],0.00132,0.00033,FALSE
-0.05,-0.04,0.03,0,1,0,,,,0.000778,[-7.88528032e-05  3.28750918e-04 -1.62107205e-04],0.0015,0.000375,FALSE
-0.05,-0.04,0.04,0,1,0,,,,0.001091,[-9.33237694e-05  3.74673356e-04 -1.76320648e-04],0.001696,0.000424,FALSE
-0.05,-0.04,0.05,0,1,0,,,,0.001498,[-0.00010998  0.00042554 -0.00018915],0.001912,0.000478,FALSE
-0.05,-0.03,-0.05,0,1,0,,,,0.000576,[-1.44777447e-05  1.14517012e-04 -4.79545452e-05],0.0005,0.000125,FALSE
-0.05,-0.03,-0.04,0,1,0,,,,0.000559,[-1.72735084e-05  1.31254000e-04 -5.46149752e-05],0.000572,0.000143,FALSE
-0.05,-0.03,-0.03,0,1,0,,,,0.000536,[-2.06141559e-05  1.50386387e-04 -6.20346661e-05],0.000656,0.000164,FALSE
-0.05,-0.03,-0.02,0,1,0,,,,0.000508,[-2.45975041e-05  1.72209508e-04 -7.02234960e-05],0.000752,0.000188,FALSE
-0.05,-0.03,-0.01,0,1,0,,,,0.000484,[-2.93336712e-05  1.97030430e-04 -7.91557285e-05],0.000856,0.000214,FALSE
-0.05,-0.03,0,0,1,0,,,,0.000484,[-3.49440479e-05  2.25156455e-04 -8.87546404e-05],0.00098,0.000245,FALSE
-0.05,-0.03,0.01,0,1,0,,,,0.00054,[-4.15587946e-05  2.56877668e-04 -9.88735894e-05],0.001112,0.000278,FALSE
-0.05,-0.03,0.02,0,1,0,,,,0.000678,[-4.93122801e-05  2.92441793e-04 -1.09273645e-04],0.001264,0.000316,FALSE
-0.05,-0.03,0.03,0,1,0,,,,0.000907,[-5.83357784e-05  3.32019534e-04 -1.19598480e-04],0.001432,0.000358,FALSE
-0.05,-0.03,0.04,0,1,0,,,,0.001227,[-6.87466666e-05  3.75658623e-04 -1.29348092e-04],0.001612,0.000403,FALSE
-0.05,-0.03,0.05,0,1,0,,,,0.001631,[-8.06333491e-05  4.23225219e-04 -1.37854094e-04],0.001808,0.000452,FALSE
-0.05,-0.02,-0.05,0,1,0,,,,0.00057,[-9.69877674e-06  1.17895413e-04 -3.21614839e-05],0.000492,0.000123,FALSE
-0.05,-0.02,-0.04,0,1,0,,,,0.000555,[-1.15588641e-05  1.34918014e-04 -3.65818805e-05],0.00056,0.00014,FALSE
-0.05,-0.02,-0.03,0,1,0,,,,0.000535,[-1.37764299e-05  1.54296488e-04 -4.14894018e-05],0.00064,0.00016,FALSE
-0.05,-0.02,-0.02,0,1,0,,,,0.000514,[-1.64137740e-05  1.76293352e-04 -4.68836329e-05],0.000732,0.000183,FALSE
-0.05,-0.02,-0.01,0,1,0,,,,0.000506,[-1.95403230e-05  2.01171174e-04 -5.27388809e-05],0.000836,0.000209,FALSE
-0.05,-0.02,0,0,1,0,,,,0.000529,[-2.32316625e-05  2.29178658e-04 -5.89939775e-05],0.000952,0.000238,FALSE
-0.05,-0.02,0.01,0,1,0,,,,0.000611,[-2.75675630e-05  2.60530931e-04 -6.55399534e-05],0.00108,0.00027,FALSE
-0.05,-0.02,0.02,0,1,0,,,,0.000771,[-3.26286363e-05  2.95382778e-04 -7.22057928e-05],0.001224,0.000306,FALSE
-0.05,-0.02,0.03,0,1,0,,,,0.001016,[-3.84912059e-05  3.33793629e-04 -7.87428827e-05],0.00138,0.000345,FALSE
-0.05,-0.02,0.04,0,1,0,,,,0.001343,[-4.52199470e-05  3.75683442e-04 -8.48093630e-05],0.001552,0.000388,FALSE
-0.05,-0.02,0.05,0,1,0,,,,0.00175,[-5.28578646e-05  4.20779281e-04 -8.99563827e-05],0.001736,0.000434,FALSE
-0.05,-0.01,-0.05,0,1,0,,,,0.000567,[-4.86304155e-06  1.19908599e-04 -1.61365610e-05],0.000484,0.000121,FALSE
-0.05,-0.01,-0.04,0,1,0,,,,0.000553,[-5.79178009e-06  1.37092543e-04 -1.83401608e-05],0.000552,0.000138,FALSE
-0.05,-0.01,-0.03,0,1,0,,,,0.000536,[-6.89747098e-06  1.56605123e-04 -2.07814617e-05],0.000632,0.000158,FALSE
-0.05,-0.01,-0.02,0,1,0,,,,0.000521,[-8.21038314e-06  1.78688412e-04 -2.34581546e-05],0.00072,0.00018,FALSE
-0.05,-0.01,-0.01,0,1,0,,,,0.000523,[-9.76403077e-06  2.03577559e-04 -2.63548511e-05],0.000824,0.000206,FALSE
