x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.07,-0.07,-0.07,0.0,1.0,0.0,,,,0.001344,[-1.12056733e-04  9.21972950e-05 -2.17136989e-04],0.000261,False
-0.07,-0.07,-0.06,0.0,1.0,0.0,,,,0.001423,[-0.00014015  0.00011084 -0.00025857],0.000314,False
-0.07,-0.07,-0.05,0.0,1.0,0.0,,,,0.001508,[-0.00017576  0.00013355 -0.00030769],0.000379,False
-0.07,-0.07,-0.04,0.0,1.0,0.0,,,,0.001602,[-0.000221    0.00016142 -0.0003657 ],0.000457,False
-0.07,-0.07,-0.03,0.0,1.0,0.0,,,,0.001707,[-0.00027852  0.00019591 -0.0004338 ],0.000551,False
-0.07,-0.07,-0.02,0.0,1.0,0.0,,,,0.001831,[-0.0003517   0.00023892 -0.00051311],0.000666,False
-0.07,-0.07,-0.01,0.0,1.0,0.0,,,,0.00199,[-0.00044474  0.00029296 -0.0006045 ],0.000806,False
-0.07,-0.07,0.0,0.0,1.0,0.0,,,,0.002206,[-0.00056286  0.00036127 -0.00070823],0.000974,False
-0.07,-0.07,0.01,0.0,1.0,0.0,,,,0.002517,[-0.00071241  0.00044797 -0.00082355],0.001177,False
-0.07,-0.07,0.02,0.0,1.0,0.0,,,,0.002981,[-0.00090099  0.00055813 -0.00094808],0.001422,False
-0.07,-0.07,0.03,0.0,1.0,0.0,,,,0.003673,[-0.00113749  0.00069774 -0.00107684],0.001715,False
-0.07,-0.07,0.04,0.0,1.0,0.0,,,,0.00469,[-0.00143215  0.00087338 -0.00120111],0.002063,False
-0.07,-0.07,0.05,0.0,1.0,0.0,,,,0.006142,[-0.0017966   0.00109158 -0.00130673],0.002475,False
-0.07,-0.07,0.06,0.0,1.0,0.0,,,,0.008135,[-0.00224408  0.00135732 -0.00137165],0.00296,False
-0.07,-0.07,0.07,0.0,1.0,0.0,,,,0.010719,[-0.00278984  0.0016713  -0.00136197],0.003526,False
-0.07,-0.06,-0.07,0.0,1.0,0.0,,,,0.001305,[-0.0001005   0.00012326 -0.00019735],0.000253,False
-0.07,-0.06,-0.06,0.0,1.0,0.0,,,,0.001371,[-0.00012546  0.00014805 -0.00023462],0.000304,False
-0.07,-0.06,-0.05,0.0,1.0,0.0,,,,0.00144,[-0.00015697  0.00017803 -0.00027855],0.000366,False
-0.07,-0.06,-0.04,0.0,1.0,0.0,,,,0.001511,[-0.00019674  0.00021444 -0.00033003],0.00044,False
-0.07,-0.06,-0.03,0.0,1.0,0.0,,,,0.001588,[-0.00024694  0.00025882 -0.0003899 ],0.000529,False
-0.07,-0.06,-0.02,0.0,1.0,0.0,,,,0.001678,[-0.00031024  0.00031312 -0.00045879],0.000636,False
-0.07,-0.06,-0.01,0.0,1.0,0.0,,,,0.001791,[-0.00038988  0.00037972 -0.00053699],0.000765,False
-0.07,-0.06,0.0,0.0,1.0,0.0,,,,0.001949,[-0.00048974  0.00046155 -0.00062408],0.000918,False
-0.07,-0.06,0.01,0.0,1.0,0.0,,,,0.002186,[-0.0006144   0.00056203 -0.00071862],0.0011,False
-0.07,-0.06,0.02,0.0,1.0,0.0,,,,0.002551,[-0.00076906  0.00068506 -0.00081754],0.001315,False
-0.07,-0.06,0.03,0.0,1.0,0.0,,,,0.003105,[-0.00095951  0.00083476 -0.00091546],0.001567,False
-0.07,-0.06,0.04,0.0,1.0,0.0,,,,0.003919,[-0.00119196  0.00101506 -0.00100379],0.00186,False
-0.07,-0.06,0.05,0.0,1.0,0.0,,,,0.00506,[-0.00147283  0.0012288  -0.00106954],0.002196,False
-0.07,-0.06,0.06,0.0,1.0,0.0,,,,0.006575,[-0.00180844  0.00147642 -0.00109376],0.002578,False
-0.07,-0.06,0.07,0.0,1.0,0.0,,,,0.008451,[-0.00220443  0.00175348 -0.00104913],0.003006,False
-0.07,-0.05,-0.07,0.0,1.0,0.0,,,,0.001268,[-8.68493317e-05  1.50627941e-04 -1.72345539e-04],0.000245,False
-0.07,-0.05,-0.06,0.0,1.0,0.0,,,,0.001323,[-0.00010823  0.0001806  -0.00020453],0.000294,False
-0.07,-0.05,-0.05,0.0,1.0,0.0,,,,0.001377,[-0.00013509  0.00021659 -0.00024224],0.000352,False
-0.07,-0.05,-0.04,0.0,1.0,0.0,,,,0.001429,[-0.0001688   0.00025988 -0.00028611],0.000422,False
-0.07,-0.05,-0.03,0.0,1.0,0.0,,,,0.001482,[-0.00021106  0.00031199 -0.00033666],0.000505,False
-0.07,-0.05,-0.02,0.0,1.0,0.0,,,,0.001541,[-0.00026392  0.00037474 -0.00039417],0.000605,False
-0.07,-0.05,-0.01,0.0,1.0,0.0,,,,0.001616,[-0.0003298   0.00045024 -0.00045851],0.000722,False
-0.07,-0.05,0.0,0.0,1.0,0.0,,,,0.001727,[-0.00041152  0.0005409  -0.0005289 ],0.000861,False
-0.07,-0.05,0.01,0.0,1.0,0.0,,,,0.001907,[-0.00051228  0.00064932 -0.00060354],0.001024,False
-0.07,-0.05,0.02,0.0,1.0,0.0,,,,0.002201,[-0.00063556  0.00077817 -0.00067926],0.001213,False
-0.07,-0.05,0.03,0.0,1.0,0.0,,,,0.002665,[-0.00078502  0.00092983 -0.00075089],0.00143,False
-0.07,-0.05,0.04,0.0,1.0,0.0,,,,0.003352,[-0.00096424  0.00110591 -0.00081071],0.001676,False
